date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:27	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2023%20Jul%202016%2012:57:14%20GMT	http://revive.stylemixthemes.com/robots.txt		(from )
18:27:32	143817/143817	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jul%202016%2012:57:14%20GMT	http://revive.stylemixthemes.com/	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/index.html	(from )
18:27:33	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2023%20Jul%202016%2012:57:21%20GMT	http://revive.stylemixthemes.com/xmlrpc.php	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/xmlrpc.php	(from http://revive.stylemixthemes.com/)
18:27:34	346/346	---M--	200	added ('OK')	image/png	etag:%22556ecc45-15a%22	http://revive.stylemixthemes.com/wp-content/uploads/2014/08/favicon.png	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/uploads/2014/08/favicon.png	(from http://revive.stylemixthemes.com/)
18:27:34	1103/1103	---MCZ	200	added ('OK')	text/css	etag:W/%22559cfba8-44f%22	http://revive.stylemixthemes.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.2.1	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/plugins/contact-form-7/includes/css/styles50fa.css	(from http://revive.stylemixthemes.com/)
18:27:34	16346/16346	---MCZ	200	added ('OK')	text/css	etag:W/%22558291d2-3fda%22	http://revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/main.min.css?ver=1.2.2.1	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/main.min6feb.css	(from http://revive.stylemixthemes.com/)
18:27:36	31189/31189	---MCZ	200	added ('OK')	text/css	etag:W/%22558291d2-79d5%22	http://revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/font-awesome.min.css?ver=1.2.2.1	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/font-awesome.min6feb.css	(from http://revive.stylemixthemes.com/)
18:27:36	30928/30928	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b357d61024f2092263b5dfb932bce403%22	http://revive.stylemixthemes.com/feed/	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/feed/index.html	(from http://revive.stylemixthemes.com/)
18:27:36	26968/26968	---MCZ	200	added ('OK')	text/css	etag:W/%22558291d2-6958%22	http://revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/modules.min.css?ver=1.2.2.1	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/modules.min6feb.css	(from http://revive.stylemixthemes.com/)
18:27:36	710/710	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://revive.stylemixthemes.com/sample-page/feed/	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/sample-page/feed/index.html	(from http://revive.stylemixthemes.com/)
18:27:36	11663/11663	---MCZ	200	added ('OK')	text/css	etag:W/%22558291d2-2d8f%22	http://revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/plugins.css?ver=1.2.2.1	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/plugins/ds-live-composer/css/plugins6feb.css	(from http://revive.stylemixthemes.com/)
18:27:37	55177/55177	---MCZ	200	added ('OK')	text/css	etag:W/%22544521c4-d789%22	http://revive.stylemixthemes.com/wp-content/plugins/revslider/rs-plugin/css/settings.css?ver=4.6.92	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/plugins/revslider/rs-plugin/css/settings2982.css	(from http://revive.stylemixthemes.com/)
18:27:38	23105/23105	---MCZ	200	added ('OK')	text/css	etag:W/%2255092d26-5a41%22	http://revive.stylemixthemes.com/wp-content/themes/revive/css/font-awesome.css?ver=4.0.3	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/themes/revive/css/font-awesomefa0c.css	(from http://revive.stylemixthemes.com/)
18:27:38	142687/142687	---MCZ	200	added ('OK')	text/css	etag:W/%2255092d26-22d5f%22	http://revive.stylemixthemes.com/wp-content/themes/revive/css/bootstrap.css?ver=3.1.0	C:/Users/Jotiba/Desktop/website/new/revive.stylemixthemes.com/wp-content/themes/revive/css/bootstrap324d.css	(from http://revive.stylemixthemes.com/)
